GwjiR2_7A7Y 1
TvUCe6Bomy4 1
RHe9X2HDEjA 1
4h54s7BBPpA 1
sXP7VhU1gYE 1
uaPm3Tpuxbc 1
Id6UovYjd-M 0
kzYtx_AqzjM 1
U1lQbh21y1k 1
eDv7dk9uNmM 0
5cK86VKoBPw 0
_npwsLh0vws 1
0eWm-LY23W0 0
0uCslW40VHQ 1
PDReqvXfkBA 1
ZOYRb2sYrL0 1
_LDR1_Prveo 1
kpCJyQ2usJ4 1
Tm98lnrlbMA 0
jroamh6SIo0 1
DMyhUb1pZT0 0
5ZdxnFspyP8 0
03yq7XsErqo 0
J1HAY8E3gms 1
IGs7IB48Fvg 0
EvvxBdNIUeQ 1
p_61XhXdlxI 0
ssY1dFl7d30 1
pD2-H15ucNE 1
JVlfQEhzLMM 1
zKotuhQWIRg 1
uQs100shv-A 1
Dq0xFgQB9qo 1
jWpiMu5LNdg 0
Ye13MIPv6n0 0
kbqO0YTUyAY 0
XN48Ba9Ncr8 0
5FBDqY41GjU 0
_y_Q3_B2Vh8 0
vkhYFml0w6c 0
fnuIT7EhAvs 1
ZF_cZ-GX9PI 1
d2cnQ5ahHgE 1
0YErxSShF0A 1
_01wqwsb66E 1
HXIj16mjfgk 1
jtPvDycHVQw 1
naVFTNWVlQU 1
RweAgQwLdMs 0
55G8037gsKY 1
6agzj3A9IgA 0
_E3gx_yQhHQ 1
ty4Ohya4hdE 0
iulx0z1lz8M 0
XUvKjC21fYU 0
KT32CsdEZEY 1
hTJgK-wZMcE 1
bIFdW0NZ9W4 1
tn53EdOr6Rw 0
sBvRJUwXJPo 0
zlRKO21qEpQ 0
NuccqpiUHrk 0
Ht-YXje4R2g 1
mpHMuaVW0DI 1
zTLxxezKUT8 1
h9ZgZimXn2Q 0
-6Fu2T_RSGM 0
86NwKBcOlow 0
XzYNh2wpO0A 1
d5lcGCbV5cM 1
Of8ezQj1hRk 0
X6zD3SoN3iY 0
3NHSwiv_pSE 0
CLWpkv6ccpA 0
KdfSUbEFums 1
tHYis-DP0oU 1
Q1vMNyIP4Us 1
ZyOhRgnFmIY 1
jyLRpr2P0MQ 1
04N79tItPEA 1
LoaBd-sPzkU 1
Hrjr5f5pZ84 1
eTwnt4G5xE4 1
iqeGTtyzQ1I 0
JVrkLIcA2qw 0
O64YFlX1_aI 1
T0IOrRETWhI 1
AA6RfgP-AHU 1
AqFwKecNaTk 0
k8EfLFvUI5U 0
5ctsUsvIp8w 0
1op92ojA6q0 0
VhNkWdLGpmA 0
xiIQQNufFuU 1
405boztgZig 1
xGmef7lFc5w 0
V6Xynlqc_tc 0
uk7gS3cZVp4 0
81SseQCpGws 0
R948Tsyq4vA 0
HUn4XwV7o9I 1
92U67CUy9Gc 1
rSadG6EtJmY 1
ZsjfUUJUq9s 1
17a443nL7Qw 1
qzsR7cChujg 1
1c5HY3z4k8M 1
LzYJVsvqS50 1
V7H1oUHXPkg 1
vA-55wZtLeE 1
eF6zYNzlZKQ 1
GMoqg_s4Dl4 0
nOZTe8jU2g4 0
MZl6Mna0leQ 0
tvnOWIoeeaU 1
YahJQvY396o 0
4GcNzvILqtM 1
ahdKdxsTj8E 0
ZGl2ExHwdak 0
REiDXCN0lGU 0
145zOBT0LD4 1
f7cX-Ar2cEM 1
za0QJRZ-yQ4 1
U-k5N1WPk4g 0
soUmhhuF08Y 1
eTWCARmrzJ0 0
Z5myJ8dg_rM 0
TMmxKZaCqe0 0
PupNgv49_WY 0
Pb9V374iOas 0
pkGrXzakRFs 0
RhzXX5PbsuQ 0
SfbjqVyQljk 1
tvXRaZbIjO8 1
KvMyZY9upuA 1
JKvmAexeMgY 1
Aig1hkq3OsU 0
eTSVTTg_QZ4 1
b6WtwQddAcY 1
pFFoAGIEyJc 1
4Eax48gDg9g 0
RdYA8ZpqdJE 0
5wUJLMWZ5Fw 0
YUzsxLi43gE 0
3M4pu6YtzJU 1
VW6UrPKPInA 1
Wm0zq-NqEFs 1
9hM32lsQ4aI 1
O9zSHs1TWMM 1
9T3AAn-Cw3g 0
RRk5qLd__Ro 0
8_fT1BsTmt4 1
3lHBgFvr3yE 0
QOtam19NQcQ 0
oLh_sIESQnY 1
ErHFQUhZ94I 1
c4fUaD4g4mc 1
w616LEmrHVE 1
o31cLUkS23E 1
Eq4mVCd-yyo 1
FwMYoK1QKso 0
HCC96awA-FM 1
_MIn3zFkEcc 1
DR2DYe7PI74 1
9P80OLC6wKY 1
OS1g4PDdNdM 1
EGr3KC55sfU 1
NM8qTo361ic 1
sCVyvfOLI6U 1
LpLnmuAyNWg 0
uC09taczvOo 0
w23DzA68KPE 1
9tmtDBpqq9s 1
Z_NHrwK6ALE 1
cfr-yZxTH8Y 1
7ZwSd9gtnwI 1
STyoP3rCmb0 1
W7dImsrVa0Y 1
JEHejQphIYc 1
W_VhVHRal6o 1
HLGCq2h4ihY 1
mV0RxDZG05A 1
5z568fLBQyQ 0
3_caioiRu5I 1
MkpbtCRwcCE 0
T4JKO0OGjpQ 1
Lvr2YsxG10o 1
FaDtge_vkbg 1
JaScdH47PYg 1
AjYil74WrVo 1
N4kDzoQOngY 1
EJjnEau6aeI 1
5r2FYszC_sU 0
gPbN26bYyN8 0
0njioQqIxKY 1
UbUdyE1_b9g 1
5fK8HEYNRuQ 1
Io9i1JkKgN4 1
wbAxarp_Ug4 1
l_Qj6aC6RV8 0
m-pRnFIeoNA 1
Mcm0Q3wGhMo 1
PQsgXNggV7Q 1
V8C15AfL6Gk 1
0JW9P_T4P_Y 1
U2ovEuEUxXQ 1
lxjmR4pYIVU 1
WPimvspI0_c 1
TuId1spuyoc 1
YZD5ifHZILE 1
OVMceVL_CEQ 0
N21Wh4Jqftc 1
CfBYGFm5gPA 1
o0arqcKC7QE 0
4TBVB4hLQhY 1
EGy1W24EPEI 1
q19UnHEofOA 1
8Eb5MWwcMMY 1
_btQus9HV_I 1
4LYtLMmDuzw 1
tj9oLZYA-AQ 1
